title,critics_score,audience_score,rating,genre,language,runtime,freebaseID,original_title,year
White of the Eye,50.0,57.0,R,Mystery & Thriller,English,110.0,/m/0285_cd,White Of The Eye,1987.0
A Woman in Flames,,62.0,,Drama,German,107.0,/m/01mrr1,A Woman in Flames,1983.0
The Sorcerer's Apprentice,,32.0,,Fantasy,English,89.0,/m/04jcqvw,The Sorcerer's Apprentice,2002.0
Alexander's Ragtime Band,83.0,46.0,,Musical,English,105.0,/m/02qc0j7,Alexander's Ragtime Band,1938.0
Sarah and Son,,22.0,,Drama,English,86.0,/m/017n1p,Sarah and Son,1930.0
Lady Snowblood 2: Love Song of Vengeance,,59.0,,Drama,Japanese,89.0,/m/07kjkz6,Lady Snowblood 2: Love Song of Vengeance,1974.0
Little City,,64.0,R,Romance,English,89.0,/m/0gffwj,Little city,1997.0
Henry V,98.0,89.0,PG-13 (A Bloody Battle),History,English,137.0,/m/016ywb,Henry V,1989.0
The Mechanical Universe,,,TV-G,Special Interest,English,,/m/02r52hc,The Mechanical Monsters,
1919,,,,Drama,English,99.0,/m/0g5qvzg,1919,1984.0
Mary Poppins,97.0,86.0,G,Kids & Family,English,140.0,/m/0kcn7,Mary Poppins,1964.0
Keep the Change,,60.0,TV-PG,Western,English,100.0,/m/0gj30jx,Keep the Change,1992.0
The Devil's Holiday,,25.0,,Drama,English,80.0,/m/017n1b,The Devil's Holiday,1930.0
New Rose Hotel,24.0,38.0,R,Drama,English,92.0,/m/02wjqm,New Rose Hotel,1999.0
White on Rice,45.0,52.0,PG-13 (Sex-Related Humor|Some Violent Images),Comedy,English,90.0,/m/05p45cv,White on Rice,2009.0
Road to Life,,,,Drama,Russian,98.0,/m/0g4_n3m,Road to Life,1931.0
Camera Thrills,,,,Documentary,English,25.0,/m/047t9rb,Camera Thrills,1935.0
Middle Age Spread,,,,Comedy,English,94.0,/m/05f5_5y,Middle Age Spread,1979.0
Baby Boy,71.0,87.0,R (Some Drug Use|Language|Strong Sexuality|Violence),Drama,English,129.0,/m/014k4y,Baby Boy,2001.0
Bindiya Chamkegi,,,,Comedy,Hindi,139.0,/m/02rc_h4,Bindiya Chamkegi,1984.0
Vandhanam,,,,Romance,Malayalam,179.0,/m/02pml15,Vandanam,1989.0
Special Effects,,,R,Mystery & Thriller,English,93.0,/m/04j284s,Special Effects,1984.0
Anokha Rishta,,,,Drama,Hindi,,/m/04j0lfk,Anokha Rishta,1986.0
They Knew What They Wanted,,40.0,,Drama,English,96.0,/m/04wy0v,They Knew What They Wanted,1940.0
Siam Sunset,67.0,60.0,,Comedy,English,91.0,/m/0b6c_nw,Siam Sunset,1999.0
Kausthubham,,,,Drama,Malayalam,180.0,/m/0bh9fbk,Kausthubham,2010.0
Archie: To Riverdale and Back Again,,44.0,PG,Comedy,English,96.0,/m/02pjlrp,Archie: To Riverdale and Back Again,1990.0
Mysterious Islands,,,TV-G,Travel,English,,/m/0f400r,Mysterious Island,1982.0
Electric Apricot: Quest for Festeroo,,72.0,R (Language|Some Sexual Content Incl Ref),Comedy,English,91.0,/m/0734w5,Electric Apricot: Quest For Festeroo,2006.0
Troopers,,,TV-14,Documentary,English,,/m/07h9zj,Troops,1997.0
Daddy and Them,86.0,54.0,R (Strong Language),Comedy,English,101.0,/m/0b6kc_5,Daddy and Them,2001.0
The Gods Must Be Crazy,86.0,84.0,PG,Comedy,Afrikaans,108.0,/m/01mrrd,The Gods Must Be Crazy,1980.0
Joan the Woman,,38.0,,Adventure,,100.0,/m/03grb4v,Joan the Woman,1917.0
Rudo y Cursi,73.0,66.0,R (Pervasive Language|Brief Drug Use|Sexual Content),Comedy,Spanish,103.0,/m/02vlsqt,Rudo y Cursi,2008.0
Kinjite: Forbidden Subjects,0.0,35.0,R,Crime,English,98.0,/m/0cws46,Kinjite: Forbidden Subjects,1989.0
Jay Vejay,,,,Action,Hindi,152.0,/m/05b0lk8,Jay Vejay,1977.0
My Name Is Fame,,85.0,,Comedy,Chinese,94.0,/m/03c0d85,My Name is Fame,2006.0
Hamsun,100.0,92.0,,Biography,Danish,158.0,/m/05f6kpj,Hamsun,1996.0
The Great New Wonderful,73.0,45.0,R (Some Sexuality|Language),Comedy,English,87.0,/m/0f0d1p,The Great New Wonderful,2006.0
Loverboy,50.0,56.0,PG-13,Romance,English,98.0,/m/02vn81r,Loverboy,1989.0
Chandra Mukhi,,,,Fantasy,Hindi,180.0,/m/0dll97s,Chandra Mukhi,1993.0
Juarez,71.0,49.0,,Biography,English,132.0,/m/04x8zs,Juarez,1939.0
Chasing Ghosts: Beyond the Arcade,,64.0,,Documentary,English,91.0,/m/02w1jsk,Chasing Ghosts: Beyond the Arcade,2007.0
It Came Upon the Midnight Clear,,86.0,,Holiday,English,100.0,/m/0g4zl4c,It Came Upon the Midnight Clear,1984.0
Vipers,,17.0,R (Some Language|Sexual Content|Gore|Violence),Horror,English,89.0,/m/04zyc0t,Vipers,2008.0
Ivar,,,,Action,,180.0,/m/0fdc85,Ivar,2003.0
The Human Tornado,80.0,69.0,R,Action,English,85.0,/m/07v6f3,The Human Tornado,1976.0
Shivers,85.0,58.0,R,Horror,English,88.0,/m/04mhwd,Shivers,1975.0
My Friend Ganesha,,,,Drama,Hindi,190.0,/m/080bxrj,My Friend Ganesha,2007.0
The Tango Player,,,,Drama,German,96.0,/m/0gj93w4,The Tango Player,1991.0
The Covered Wagon,91.0,50.0,,Western,,98.0,/m/0kv612,The Covered Wagon,1923.0
Sombra Verde,,,,Drama,Spanish,85.0,/m/0crvlhb,Sombra Verde,1954.0
The Little Hut,,25.0,,Romance,English,78.0,/m/0h10pz,The Little Hut,1957.0
Nariman.,,,,Mystery & Thriller,Malayalam,135.0,/m/0gh8wn7,Nariman,2001.0
Drums in the Deep South,,22.0,,History,English,87.0,/m/04j1nd9,Drums in the Deep South,1951.0
Vixen,,37.0,TV-PG,Action,English,,/m/0dyy_v,Vixen!,1968.0
ZA: Zombies Anonymous,,49.0,,Horror,English,118.0,/m/0crx1wl,ZA: Zombies Anonymous,2005.0
Closing the Ring,32.0,59.0,R (Nudity|Brief Sexuality|Violent Images),Drama,English,119.0,/m/0fc8w8,Closing the Ring,2007.0
The Boston Strangler,88.0,73.0,R,Crime,English,116.0,/m/02x4zpv,The Boston Strangler,1968.0
